YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE,SALE_DATE,PROFIT,ODOMETER
2014,Chevrolet,Impala,LS Fleet,sedan,automatic,1g11x5slxeu162943,il,3,black,gray,gm remarketing,16050,16100,2015-06-11T04:00:00-07:00,00:00.0,50,27621
2014,Chevrolet,Impala,LTZ,sedan,,2g1155s39e9309191,pa,42,red,gray,nelson auto sales inc,25600,26000,2015-06-05T02:00:00-07:00,00:00.0,400,14676
2014,Chevrolet,Equinox,LS,suv,automatic,2gnalaek5e6278118,ms,46,black,gray,exeter finance corp,17500,17700,2015-06-04T03:30:00-07:00,30:00.0,200,11553
2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e31e1120687,ne,42,silver,gray,schukei chevrolet inc,13400,13600,2015-06-04T04:00:00-07:00,00:00.0,200,24113
2014,Chevrolet,Impala,LT,sedan,automatic,1g1125s31eu163462,il,4,white,black,gm remarketing,20300,20700,2015-06-11T04:00:00-07:00,00:00.0,400,27446
2014,Chevrolet,Impala Limited,LT Fleet,sedan,automatic,2g1wb5e33e1164707,tx,39,black,black,tdaf remarketing,13850,14200,2015-06-17T03:15:00-07:00,15:00.0,350,19051
2005,Mercury,Mariner,Premier,suv,,4m2yu571x5dj22040,pa,28,black,black,battlefield kia,2400,2900,2015-06-05T02:00:00-07:00,00:00.0,500,129145
2005,Nissan,Altima,2.5 S,sedan,manual,1n4al11d45c101931,ca,2,green,gray,aaero sweet corporation,2250,2400,2015-06-03T04:30:00-07:00,30:00.0,150,158139
2005,MINI,Cooper,Base,convertible,automatic,wmwrf33445tg10866,tx,34,blue,black,standley  p.m. corporation(2),5325,6300,2015-06-17T03:20:00-07:00,20:00.0,975,65083
2005,Nissan,Altima,2.5 S,sedan,automatic,1n4al11d95n931812,fl,19,gray,gray,courtesy kia of brandon,2975,3800,2015-06-04T09:20:00-07:00,20:00.0,825,114840
2005,Mercedes-Benz,SLK-Class,SLK350,convertible,,wdbwk56f85f050936,fl,37,silver,black,onemain rem/auto club of miami inc dba north dad,12200,13000,2015-06-12T03:15:00-07:00,15:00.0,800,79196
2005,Nissan,Pathfinder,SE,suv,automatic,5n1ar18w85c713349,nj,43,gold,tan,dream cars by bussinger ltd,5250,7300,2015-06-03T02:30:00-07:00,30:00.0,2050,129621
2005,Nissan,Murano,SL,suv,automatic,jn8az08w05w440361,wa,22,black,black,lexus of bellevue,6475,10900,2015-06-03T06:20:00-07:00,20:00.0,4425,58496
2005,Porsche,Boxster,Base,convertible,manual,wp0ca29805u712457,pa,42,yellow,black,r hollenshead auto sales inc,16850,20700,2015-06-05T02:00:00-07:00,00:00.0,3850,35504
2005,Toyota,4Runner,SR5,suv,automatic,jtebu14r658050482,az,21,blue,gray,right toyota,6625,7000,2015-06-04T05:00:00-07:00,00:00.0,375,175229
2005,Scion,xA,Base,hatchback,automatic,jtkkt624050126961,ca,28,blue,black,elite auto sales/leasing,3175,5300,2015-06-03T05:30:00-07:00,30:00.0,2125,98662
2005,Nissan,Maxima,3.5 SL,sedan,automatic,1n4ba41e15c878569,nc,32,silver,gray,crossroads nissan of wake forest,2100,2800,2015-06-08T02:00:00-07:00,00:00.0,700,183037
2005,Toyota,4Runner,SR5,suv,automatic,jtezu14rx58030993,ca,35,silver,gray,huntington beach ford,7775,10700,2015-06-03T05:15:00-07:00,15:00.0,2925,111611
2005,Nissan,Xterra,Off-Road,suv,,5n1an08u95c651982,ca,37,gray,gray,carpower trading inc,2250,4200,2015-06-03T05:30:00-07:00,30:00.0,1950,201266
2005,Nissan,Murano,SE,suv,automatic,jn8az08t05w309629,nc,27,gray,â€”,crossroads nissan,3275,3700,2015-06-08T02:00:00-07:00,00:00.0,425,196935
2005,Nissan,Pathfinder,SE,suv,automatic,5n1ar18wx5c703101,ga,25,silver,black,santander consumer,3175,4200,2015-06-09T02:30:00-07:00,30:00.0,1025,185404
2004,Audi,A4,1.8T quattro,sedan,automatic,waulc68e44a129198,mi,46,red,tan,erhard bmw of farmington hills,4200,5500,2015-06-04T02:30:00-07:00,30:00.0,1300,100801
2005,Toyota,Corolla,CE,sedan,automatic,1nxbr32e75z404045,tn,35,silver,gray,personal auto locator service llc,1750,2800,2015-06-03T03:30:00-07:00,30:00.0,1050,292560
2005,Toyota,Camry,SE,sedan,automatic,4t1be32k75u530908,pa,25,gray,tan,1 cochran of monroeville,3950,4200,2015-06-03T02:00:00-07:00,00:00.0,250,133441
2005,Toyota,Highlander,Base,suv,,jtehd21a250034163,pa,25,silver,gray,tdaf remarketing,5675,7800,2015-06-05T02:00:00-07:00,00:00.0,2125,80159
2005,Toyota,Sienna,CE 7-Passenger,minivan,automatic,5tdza23c35s274772,nc,25,gray,gray,crossroads ford of indian trail,4750,5200,2015-06-08T02:00:00-07:00,00:00.0,450,121360
2005,Toyota,Camry,LE V6,sedan,automatic,4t1bf32k15u614509,tx,34,white,tan,brunson auto sales,6175,7900,2015-06-03T03:20:00-07:00,20:00.0,1725,103772
